lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,epoch,val_loss,val_lattice_loss,val_coord_loss,train_loss_epoch,lattice_loss_epoch,coord_loss_epoch
1e-05,0,,,,,,,,,,
,0,5.526032447814941,4.259617328643799,1.2664152383804321,0,,,,,,
,1,6.969551086425781,5.852632522583008,1.1169185638427734,0,,,,,,
,2,5.181454181671143,4.2544755935668945,0.9269787669181824,0,,,,,,
,3,14.030513763427734,12.819062232971191,1.211451768875122,0,,,,,,
,4,5.157778739929199,4.081205368041992,1.0765732526779175,0,,,,,,
,5,6.507736682891846,5.308836936950684,1.1988998651504517,0,,,,,,
,6,4.626479625701904,3.2395100593566895,1.3869694471359253,0,,,,,,
,7,1.9412121772766113,1.0588221549987793,0.882390022277832,0,,,,,,
,8,4.753649711608887,3.7280983924865723,1.0255513191223145,0,,,,,,
,9,2.9677538871765137,1.9030272960662842,1.064726710319519,0,,,,,,
,10,4.8548173904418945,3.8880929946899414,0.9667243957519531,0,,,,,,
,11,3.2545440196990967,2.0689172744750977,1.185626745223999,0,,,,,,
,12,5.663833141326904,4.674241542816162,0.989591658115387,0,,,,,,
,12,,,,0,3.5686142444610596,2.708709955215454,0.8599043488502502,,,
,12,,,,0,,,,5.598231315612793,4.496823787689209,1.1014080047607422
9.997779521645793e-06,13,,,,,,,,,,
,13,9.447432518005371,8.378403663635254,1.0690287351608276,1,,,,,,
,14,11.393991470336914,10.408900260925293,0.9850909113883972,1,,,,,,
,15,7.163491725921631,6.205573081970215,0.957918643951416,1,,,,,,
,16,5.248725891113281,4.325926780700684,0.9227988719940186,1,,,,,,
,17,2.6892549991607666,1.6894866228103638,0.9997683763504028,1,,,,,,
,18,2.5522868633270264,1.5660687685012817,0.9862181544303894,1,,,,,,
,19,3.2803828716278076,2.378371238708496,0.9020115733146667,1,,,,,,
,20,5.306901454925537,4.46783447265625,0.8390668034553528,1,,,,,,
,21,3.0572614669799805,2.106342315673828,0.9509191513061523,1,,,,,,
,22,6.696942329406738,5.753227233886719,0.9437153339385986,1,,,,,,
,23,2.650146484375,1.5464739799499512,1.1036725044250488,1,,,,,,
,24,2.2506446838378906,1.2547332048416138,0.9959113597869873,1,,,,,,
,25,5.962310314178467,4.810060977935791,1.1522492170333862,1,,,,,,
,25,,,,1,2.2760438919067383,1.5167744159698486,0.7592695951461792,,,
,25,,,,1,,,,5.124500751495361,4.146233081817627,0.9782681465148926
9.991120277927224e-06,26,,,,,,,,,,
,26,4.242279529571533,3.426699161529541,0.8155801892280579,2,,,,,,
,27,5.007118225097656,4.051923751831055,0.9551942944526672,2,,,,,,
,28,9.679285049438477,9.046822547912598,0.6324628591537476,2,,,,,,
,29,2.1399221420288086,1.3869054317474365,0.7530168294906616,2,,,,,,
,30,2.507962703704834,1.447000503540039,1.0609620809555054,2,,,,,,
,31,4.611218452453613,3.79079008102417,0.8204282522201538,2,,,,,,
,32,3.285151481628418,2.174936056137085,1.1102155447006226,2,,,,,,
,33,3.809570550918579,3.0206003189086914,0.7889702320098877,2,,,,,,
,34,5.706782817840576,4.6219482421875,1.0848344564437866,2,,,,,,
,35,7.186246871948242,6.294909954071045,0.8913367390632629,2,,,,,,
,36,3.0980582237243652,2.172586441040039,0.9254717826843262,2,,,,,,
,37,2.237685441970825,1.2548110485076904,0.9828743934631348,2,,,,,,
,38,2.9083423614501953,2.014350652694702,0.8939915895462036,2,,,,,,
,38,,,,2,3.454760789871216,2.7056360244750977,0.7491245269775391,,,
,38,,,,2,,,,4.40289831161499,3.504051923751831,0.8988462686538696
