lr-Adam,step,train_loss_step,lattice_loss_step,coord_loss_step,type_loss_step,density_loss_step,epoch
0.0001,0,,,,,,
,9,2.299680233001709,19.09593391418457,1.1064774990081787,1.1525771617889404,0.08125098794698715,0
,19,2.074957847595215,16.411596298217773,0.960071861743927,1.0728501081466675,0.08407146483659744,0
,29,2.039184331893921,18.972713470458984,0.9990096688270569,0.9989216327667236,0.08250632882118225,0
,39,2.0678138732910156,19.08835220336914,1.0588217973709106,0.9682036638259888,0.08157677203416824,0
,49,2.0593791007995605,20.45068359375,1.0350862741470337,0.9849244952201843,0.07873699069023132,0
,59,2.018141508102417,19.46660614013672,1.0244401693344116,0.9530449509620667,0.08131243288516998,0
,69,1.9998056888580322,21.7401065826416,1.0096609592437744,0.947806179523468,0.08467727154493332,0
,79,1.875262975692749,19.932769775390625,0.9388001561164856,0.8965950012207031,0.0797356590628624,0
,89,1.9136834144592285,20.483341217041016,0.9733790159225464,0.8999902606010437,0.08062836527824402,0
,99,1.909167766571045,17.143545150756836,0.9973339438438416,0.8713881969451904,0.08089108765125275,0
,109,1.8973125219345093,17.77437400817871,1.0152451992034912,0.8394405841827393,0.0852535143494606,0
,119,1.8378181457519531,19.16059112548828,1.0234599113464355,0.77434241771698,0.08003155887126923,0
,129,1.9014252424240112,15.888872146606445,1.083343505859375,0.777575671672821,0.08101199567317963,0
,139,1.801376461982727,14.90339183807373,1.006667137145996,0.7530052661895752,0.0834081843495369,0
,149,1.8010973930358887,15.32962417602539,0.9756268262863159,0.7846187949180603,0.08170357346534729,0
