sample_name,spectrum,reason
mp-10924__mp-10924-EXAFS-Mg-K,chi_true,max|y|=3.61e+15 > 100.0 (FEFF overflow)
mp-10924__mp-10924-EXAFS-Mg-K,xmu_true,max|y|=1.89e+15 > 100.0 (FEFF overflow)
mp-2114__mp-2114-EXAFS-N-K,chi_orig,peak/median=392.9 > 50.0 (numerical spike)
mp-2114__mp-2114-EXAFS-N-K,chi_pred,peak/median=52.2 > 50.0 (numerical spike)
mp-23926__mp-23926-EXAFS-Hg-K,chi_true,max|y|=2.01e+20 > 100.0 (FEFF overflow)
mp-23926__mp-23926-EXAFS-Hg-K,xmu_true,max|y|=2.17e+20 > 100.0 (FEFF overflow)
mp-765005__mp-765005-EXAFS-Si-K,chi_orig,peak/median=350.8 > 50.0 (numerical spike)
mp-765005__mp-765005-EXAFS-Si-K,chi_pred,peak/median=119.1 > 50.0 (numerical spike)
mp-769563__mp-769563-EXAFS-V-K,chi_orig,peak/median=217.5 > 50.0 (numerical spike)
mp-775640__mp-775640-EXAFS-Te-K,chi_orig,peak/median=116.3 > 50.0 (numerical spike)
mp-861947__mp-861947-EXAFS-Ga-K,chi_orig,peak/median=70.9 > 50.0 (numerical spike)
mp-863664__mp-863664-EXAFS-Ge-K,chi_orig,peak/median=59.1 > 50.0 (numerical spike)
mp-863664__mp-863664-EXAFS-Ge-K,chi_pred,peak/median=126.4 > 50.0 (numerical spike)
mp-865935__mp-865935-EXAFS-Mg-K,chi_orig,peak/median=63.6 > 50.0 (numerical spike)
