element,n_samples_total,n_train,n_val,n_test,n_holdout,is_rare
O,22441,18002,2220,1315,904,False
Li,7147,5720,747,418,262,False
P,5495,4388,544,344,219,False
F,3762,3025,364,224,149,False
Fe,3481,2777,343,230,131,False
Mn,3313,2658,318,213,124,False
S,3258,2583,365,183,127,False
V,2913,2308,298,197,110,False
Si,2842,2260,292,168,122,False
Cu,2518,1993,266,160,99,False
Ni,2478,1988,249,147,94,False
C,2451,1966,236,145,104,False
Na,2367,1922,230,138,77,False
Co,2231,1775,230,129,97,False
N,2196,1753,221,119,103,False
Ba,2141,1694,219,143,85,False
B,2097,1678,204,121,94,False
K,1985,1580,206,121,78,False
Ti,1847,1478,191,97,81,False
Ca,1826,1438,192,112,84,False
Cl,1818,1445,186,113,74,False
Cr,1804,1453,177,106,68,False
Al,1697,1359,188,89,61,False
Sb,1595,1290,157,85,63,False
Se,1589,1248,176,95,70,False
Zn,1563,1245,146,102,70,False
Sn,1552,1250,163,94,45,False
Mg,1457,1169,144,82,62,False
Ge,1453,1172,146,82,53,False
Sr,1413,1123,145,90,55,False
Bi,1336,1063,123,85,65,False
Te,1309,1053,128,80,48,False
As,1163,931,116,71,45,False
La,1130,889,115,80,46,False
Mo,1088,860,123,66,39,False
Nb,1071,850,110,65,46,False
In,1052,825,115,66,46,False
Rb,1035,824,102,71,38,False
Ag,1009,813,98,55,43,False
Cs,978,790,93,57,38,False
Ga,962,782,90,55,35,False
W,949,758,97,56,38,False
Y,944,744,104,59,37,False
I,914,736,84,56,38,False
Pb,796,634,79,51,32,False
Cd,788,636,78,44,30,False
Ta,765,617,73,45,30,False
Br,763,603,82,49,29,False
Zr,755,612,73,41,29,False
Tl,745,601,74,44,26,False
Pd,727,592,62,43,30,False
Nd,727,581,72,44,30,False
Ce,718,576,71,41,30,False
U,688,553,67,41,27,False
Rh,642,510,70,38,24,False
Pt,640,514,59,39,28,False
Pr,624,498,58,40,28,False
Ru,610,493,60,34,23,False
Au,594,475,60,34,25,False
Hg,565,450,55,36,24,False
Sm,539,432,54,30,23,False
Sc,537,431,51,32,23,False
Ho,508,408,50,31,19,False
Ir,505,400,54,31,20,False
Er,502,401,51,31,19,False
Dy,483,387,47,28,21,False
Gd,462,369,48,27,18,False
Tb,451,360,46,27,18,False
Eu,399,321,40,23,15,False
Re,371,296,37,21,17,False
Hf,366,292,36,24,14,False
Lu,335,268,33,20,14,False
Tm,333,266,36,19,12,False
Be,309,249,30,18,12,False
Yb,303,242,31,18,12,False
Th,278,223,27,16,12,False
Os,274,221,26,17,10,False
Pu,138,110,15,8,5,False
Tc,121,97,12,7,5,False
Np,109,87,11,7,4,False
Pm,71,57,7,4,3,False
Xe,56,45,6,3,2,False
Pa,54,44,5,3,2,False
Ac,47,37,5,3,2,False
Kr,8,8,0,0,0,True
He,3,3,0,0,0,True
Ar,2,2,0,0,0,True
Ne,1,1,0,0,0,True
