,n_nan
xmu_Emin,0
xmu_Emax,0
xmu_npts,0
E0,0
mu_at_E0,0
dmu_max,0
pre_peak_E,32555
pre_peak_I,32555
white_line_E,0
white_line_I,0
post_peak1_E,0
post_peak1_I,0
d1_pre_E,0
d1_pre_I,0
d1_post_E,0
d1_post_I,0
area_pre,31544
area_edge,0
area_white_line,0
area_post1,0
pre_white_ratio,32555
post_white_ratio,0
pre_centroid_E,31544
white_centroid_E,0
flag_pre_valid,0
flag_white_valid,0
flag_post_valid,0
k2chi_2_5_mean,0
k2chi_2_5_std,0
k2chi_2_5_max,0
k2chi_2_5_min,0
k2chi_2_5_area_abs,0
k2chi_2_5_rms,0
k2chi_5_8_mean,0
k2chi_5_8_std,0
k2chi_5_8_max,0
k2chi_5_8_min,0
k2chi_5_8_area_abs,0
k2chi_5_8_rms,0
k2chi_8_12_mean,0
k2chi_8_12_std,0
k2chi_8_12_max,0
k2chi_8_12_min,0
k2chi_8_12_area_abs,0
k2chi_8_12_rms,0
k3chi_2_5_mean,0
k3chi_2_5_std,0
k3chi_2_5_max,0
k3chi_2_5_min,0
k3chi_2_5_area_abs,0
k3chi_2_5_rms,0
k3chi_5_8_mean,0
k3chi_5_8_std,0
k3chi_5_8_max,0
k3chi_5_8_min,0
k3chi_5_8_area_abs,0
k3chi_5_8_rms,0
k3chi_8_12_mean,0
k3chi_8_12_std,0
k3chi_8_12_max,0
k3chi_8_12_min,0
k3chi_8_12_area_abs,0
k3chi_8_12_rms,0
chi_kmin,0
chi_kmax,0
chi_npts,0
R1_peak_pos,0
R1_peak_height,0
R2_peak_pos,0
R2_peak_height,0
R1_area,0
R2_area,0
R1_R2_ratio,0
